%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
NEUTRAL	( ( ( The picture ) ( of ( ( a camera ) ( set up ) ) ) ) ( is ( being ( taken ( by ( ( a man ) ( on ( ( the beach ) ( at ( the sunset ) ) ) ) ) ) ) ) ) )	( ( A man ) ( is ( taking ( pictures ( of ( a lake ) ) ) ) ) )	3	2157
NEUTRAL	( ( A ( white dog ) ) ( is ( ( approaching ( a ( golden dog ) ) ) ( on ( pebbly beach ) ) ) ) )	( ( Two dogs ) ( are ( playing ( on ( a ( rocky beach ) ) ) ) ) )	2.9	9036
CONTRADICTION	( ( A snake ) ( is ( being ( ( fed ( a mouse ) ) ( by ( a man ) ) ) ) ) )	( ( No snake ) ( is ( being ( ( fed ( a mouse ) ) ( by ( a man ) ) ) ) ) )	4.7	1608
ENTAILMENT	( ( A woman ) ( is ( slicing ( a potato ) ) ) )	( ( A woman ) ( is ( cutting ( a potato ) ) ) )	4.8	4661
ENTAILMENT	( ( A ( panda bear ) ) ( is ( eating ( some bamboo ) ) ) )	( ( Some bamboo ) ( is ( being ( eaten ( by ( a ( panda bear ) ) ) ) ) ) )	4.8	3384
CONTRADICTION	( There ( is ( ( no man ) ( ( spraying ( a ( super soaker ) ) ) ( into ( ( the mouth ) ( of ( a dog ) ) ) ) ) ) ) )	( ( A man ) ( is ( ( spraying ( a ( super soaker ) ) ) ( into ( ( the mouth ) ( of ( a dog ) ) ) ) ) ) )	3.8	7718
NEUTRAL	( ( A man ) ( is ( reloading ( a shotgun ) ) ) )	( ( A man ) ( is ( firing ( a shotgun ) ) ) )	3.7	5706
NEUTRAL	( ( A ( big ( green ball ) ) ) ( is ( missing ( a potato ) ) ) )	( ( A ( big ( green ball ) ) ) ( is ( knocking ( a potato ) ) ) )	3.3	2965
NEUTRAL	( ( The turtle ) ( is ( following ( the fish ) ) ) )	( ( A fish ) ( is ( hunting ( for ( ( a turtle ) ( in ( the sea ) ) ) ) ) ) )	3.5	1137
NEUTRAL	( ( ( A man ) ( with ( no hat ) ) ) ( is ( sitting ( on ( the ground ) ) ) ) )	( ( ( A man ) ( with ( a ( backwards hat ) ) ) ) ( is ( sitting ( on ( the ground ) ) ) ) )	4	8461
ENTAILMENT	( ( A ( tennis player ) ) ( is ( jumping ( to ( the left ) ) ) ) )	( ( A ( tennis player ) ) ( is ( lunging ( to ( the left ) ) ) ) )	4.4	7795
ENTAILMENT	( ( ( A ( young girl ) ) ( in ( a ( blue leotard ) ) ) ) ( is ( jumping ( in ( the air ) ) ) ) )	( ( ( A ( young girl ) ) ( in ( ( a leotard ) ( colored ( in blue ) ) ) ) ) ( is ( jumping ( in ( the air ) ) ) ) )	5	7546
CONTRADICTION	( There ( is ( ( no ( hockey player ) ) ( in ( ( a ( yellow jersey ) ) ( guarding ( the goal ) ) ) ) ) ) )	( ( The ( ice ( hockey goalkeeper ) ) ) ( ( ( is ( wearing ( a ( yellow jersey ) ) ) ) and ) ( is ( defending ( the goal ) ) ) ) )	4	6544
NEUTRAL	( ( A ( yellow dog ) ) ( is ( chasing ( a ball ) ) ) )	( ( A dog ) ( is ( ( ( turning ( on ( the grass ) ) ) and ) ( pursuing ( a ( flying ( tennis ball ) ) ) ) ) ) )	4.4	9188
NEUTRAL	( ( A man ) ( is ( ( ( wearing ( a ( blue shirt ) ) ) and ) ( ( walking barefoot ) ( on ( a ( tennis court ) ) ) ) ) ) )	( ( A woman ) ( is ( ( ( wearing ( a ( blue shirt ) ) ) and ) ( ( walking barefoot ) ( on ( a ( tennis court ) ) ) ) ) ) )	3.6	9623
ENTAILMENT	( ( A man ) ( ( is hurriedly ) ( getting ( into ( ( a car ) ( in ( a garage ) ) ) ) ) ) )	( ( A man ) ( is ( getting ( into ( a car ) ) ) ) )	4.1	2678
ENTAILMENT	( ( The cat ) ( is ( playing ( passionately ( with ( a watermelon ) ) ) ) ) )	( ( A cat ) ( is ( playing ( with ( a watermelon ) ) ) ) )	4.5	2286
NEUTRAL	( ( A man ) ( is ( standing ( on ( ( a boat ) ( in ( front ( of ( ( the sunset ) ( near ( a flag ) ) ) ) ) ) ) ) ) ) )	( ( A man ) ( is ( sitting ( on ( ( a boat ) ( in ( ( ( font ( of ( the sunset ) ) ) , ) ( near ( a flag ) ) ) ) ) ) ) ) )	3.8	6213
NEUTRAL	( ( ( The man ) ( in blue ) ) ( is ( ( posing ( for ( a picture ) ) ) ( next ( to ( a vehicle ) ) ) ) ) )	( ( A man ) ( is ( standing ( at ( ( the wheel ) ( of ( ( a ( classic ( American car ) ) ) ( that ( has ( its ( door ( and ( trunk open ) ) ) ) ) ) ) ) ) ) ) ) )	3.2	9242
ENTAILMENT	( ( The lady ) ( is ( penciling ( on eyeshadow ) ) ) )	( ( The woman ) ( is ( penciling ( on eyeshadow ) ) ) )	5	2829
NEUTRAL	( ( A biker ) ( is ( wearing ( gear ( which ( is black ) ) ) ) ) )	( ( ( A biker ) ( wearing black ) ) ( is ( breaking ( the gears ) ) ) )	3.1	530
ENTAILMENT	( ( A band ) ( is ( playing ( on ( a stage ) ) ) ) )	( ( A band ) ( is ( playing onstage ) ) )	5	1266
ENTAILMENT	( ( ( ( A ( big ( brown dog ) ) ) and ) ( a ( small ( grey dog ) ) ) ) ( are ( standing ( on ( a ( rocky surface ) ) ) ) ) )	( ( ( ( A ( large ( brown dog ) ) ) and ) ( a ( small ( grey dog ) ) ) ) ( are ( standing ( on ( a ( rocky surface ) ) ) ) ) )	4.8	6756
ENTAILMENT	( ( A girl ) ( is ( ( skipping rope ) ( on ( a sidewalk ) ) ) ) )	( ( A girl ) ( is ( ( skipping rope ) ( on ( near ( a street ) ) ) ) ) )	4.3	8786
ENTAILMENT	( ( ( ( A horse ) and ) ( its rider ) ) ( are ( leaping ( over ( a barrier ) ) ) ) )	( ( A hurdle ) ( is ( being ( leapt ( by ( ( a horse ) ( that ( has ( ( a rider ) ( on ( its back ) ) ) ) ) ) ) ) ) ) )	4.5	6634
ENTAILMENT	( ( ( ( ( The girl ) , ) ( who ( is little ) ) ) , ) ( ( is carefully ) ( ( combing ( her hair ) ) ( into ( a ( pony tail ) ) ) ) ) )	( ( ( ( ( The girl ) , ) ( who ( is little ) ) ) , ) ( ( is ( ( combing ( her hair ) ) ( into ( a ( pony tail ) ) ) ) ) . ) )	4.6	1839
ENTAILMENT	( ( ( ( A man ) and ) ( a woman ) ) ( are ( in ( ( a room ) ( ( ( ( painted ( beige ( , ( wearing ( dark ( colored shirts ) ) ) ) ) ) and ) ( a monitor ) ) ( is ( in ( the background ) ) ) ) ) ) ) )	( ( ( ( A man ) and ) ( a woman ) ) ( are ( in ( ( ( ( ( a ( beige room ) ) , ) ( wearing ( dark ( colored shirts ) ) ) ) and ) ( ( a monitor ) ( is ( in ( the background ) ) ) ) ) ) ) )	5	6047
NEUTRAL	( ( A boy ) ( is ( standing ( outside ( the water ) ) ) ) )	( ( The boy ) ( is ( wading ( through ( the ( blue ocean ) ) ) ) ) )	3.135	280
NEUTRAL	( ( The guitar ) ( is ( being ( played ( by ( the man ) ) ) ) ) )	( ( A boat ) ( is ( ( sailing peacefully ) ( over ( the water ) ) ) ) )	1.1	1676
ENTAILMENT	( ( The person ) ( is ( slicing onions ) ) )	( Onions ( are ( being ( sliced ( by ( the person ) ) ) ) ) )	4.9	3721
CONTRADICTION	( ( The man ) ( ( is not ) ( doing exercises ) ) )	( ( The man ) ( is ( doing exercises ) ) )	3.8	5924
NEUTRAL	( ( A ( small child ) ) ( is ( ( showing excitement ) ( on ( ( a swing ) ( set ( at ( the park ) ) ) ) ) ) ) )	( ( ( ( ( ( ( The girl ) , ) ( who ( is little ) ) ) , ) ( is swinging ) ) and ) ( ( the woman ) ( is ( standing behind ) ) ) )	3.6	7448
ENTAILMENT	( Men ( are ( sawing logs ) ) )	( Men ( are ( cutting wood ) ) )	4.5	1412
NEUTRAL	( ( Five children ) ( are ( standing ( in ( a ( wooden hut ) ) ) ) ) )	( ( Five children ) ( are ( standing ( in ( front ( of ( a ( wooden hut ) ) ) ) ) ) ) )	4.2	119
NEUTRAL	( ( A woman ) ( is ( cooking ( a ( breaded ( pork chop ) ) ) ) ) )	( ( The woman ) ( is ( chopping ( ( ( some bread ) and ) ( fried pork ) ) ) ) )	3.2	3322
NEUTRAL	( ( The girl ) ( ( ( is ( sitting ( on ( the couch ) ) ) ) and ) ( is crocheting ) ) )	( There ( is ( ( no girl ) ( playing ( ( the violin ) ( on ( a beach ) ) ) ) ) ) )	1.4	4755
CONTRADICTION	( ( The ( ( adults and ) children ) ) ( ( are not ) ( gathered ( near ( an ( outdoor ( seating arrangement ) ) ) ) ) ) )	( ( The ( ( adults and ) children ) ) ( are ( being ( gathered ( near ( an ( outdoor ( seating arrangement ) ) ) ) ) ) ) )	4.4	8193
NEUTRAL	( ( A ( ( ( black and ) orange ) bird ) ) ( is ( standing ( in ( the grass ) ) ) ) )	( ( ( The ( black bird ) ) ( with ( a ( yellow beak ) ) ) ) ( is ( standing ( in ( the ( green grass ) ) ) ) ) )	4	8700
ENTAILMENT	( ( A woman ) ( is ( riding ( a ( water scooter ) ) ) ) )	( ( A woman ) ( is ( riding ( ( a scooter ) ( for water ) ) ) ) )	4.1	3373
NEUTRAL	( ( The man ) ( is ( going ( into ( the water ) ) ) ) )	( ( The person ) ( is ( going ( into ( the sea ) ) ) ) )	4.1	8500
CONTRADICTION	( There ( is ( ( no woman ) ( combing ( her hair ) ) ) ) )	( ( A woman ) ( is ( combing ( her hair ) ) ) )	3.6	1178
NEUTRAL	( ( An ( animated airplane ) ) ( is ( taking off ) ) )	( ( A plane ) ( is landing ) )	2.7	2812
CONTRADICTION	( There ( is ( ( no man ) ( cooking ( a snake ) ) ) ) )	( ( A man ) ( is ( cooking ( a snake ) ) ) )	3.7	4767
NEUTRAL	( ( A woman ) ( ( ( is ( ( wearing ( a ( blue shirt ) ) ) ( with ( ( ( a ( white vest ) ) and ) ( a ( white cap ) ) ) ) ) ) and ) ( is ( ( talking and ) marching ) ) ) )	( ( ( The woman ) ( wearing ( ( the ( ( ( blue and ) white ) uniform ) ) ( with ( a ( white ( and ( blue hat ) ) ) ) ) ) ) ) ( ( ( is ( ( keeping ( her mouth ) ) open ) ) and ) ( is ( ( near others ) ( who ( are ( dressed ( in ( the ( same fashion ) ) ) ) ) ) ) ) ) )	3.4	6912
ENTAILMENT	( ( A ( ( ( white and ) tan ) dog ) ) ( is ( running ( through ( the ( ( ( tall and ) green ) grass ) ) ) ) ) )	( ( A ( ( ( white and ) tan ) dog ) ) ( is ( running ( through ( a field ) ) ) ) )	4.35	384
NEUTRAL	( People ( are ( ( ( riding and ) paddling ) ( a raft ) ) ) )	( ( A ( few people ) ) ( are ( floating ( on ( a raft ) ) ) ) )	3.8	2525
ENTAILMENT	( ( ( The group ) ( of people ) ) ( is ( sitting ( in ( a ( dim room ) ) ) ) ) )	( ( ( The group ) ( of people ) ) ( is ( sitting ( in ( ( a room ) ( which ( is dim ) ) ) ) ) ) )	4.9	7466
ENTAILMENT	( ( A girl ) ( is ( eating ( a cupcake ) ) ) )	( ( A cupcake ) ( is ( being ( eaten ( by ( a girl ) ) ) ) ) )	5	5588
NEUTRAL	( ( The kid ) ( ( is happily ) ( sliding ( in ( the snow ) ) ) ) )	( ( ( A boy ) ( on ( ( a hill ) ( covered ( in snow ) ) ) ) ) ( ( ( is ( wearing ( ( ( a ( red jacket ) ) and ) ( a ( black hat ) ) ) ) ) and ) ( is ( sliding ( on ( his knees ) ) ) ) ) )	4	765
ENTAILMENT	( ( A woman ) ( is ( ( putting ( two eggs ) ) ( into ( ( a pot ) ( of water ) ) ) ) ) )	( ( A woman ) ( is ( ( placing ( two eggs ) ) ( into ( ( a pot ) ( of water ) ) ) ) ) )	4.9	3250
CONTRADICTION	( ( A woman ) ( is ( putting ( on makeup ) ) ) )	( There ( is ( ( no woman ) ( putting ( on makeup ) ) ) ) )	4	2911
NEUTRAL	( ( ( ( ( A ( small group ) ) ( of people ) ) ( are standing ) ) and ) ( two ( are ( sitting ( on ( the sofa ) ) ) ) ) )	( ( ( A group ) ( of ( five ( young adults ) ) ) ) ( are ( lounging indoors ) ) )	3.8	8963
NEUTRAL	( ( ( Two men ) ( with cars ) ) ( are ( on ( ( the side ) ( of ( a ( snowy road ) ) ) ) ) ) )	( ( Two men ) ( are ( ( taking ( a break ) ) ( from ( ( a trip ) ( on ( a ( snowy road ) ) ) ) ) ) ) )	4	417
ENTAILMENT	( ( ( A man ) ( in ( a ( motocross uniform ) ) ) ) ( is ( ( wearing ( a ( ( helmet and ) rides ) ) ) ( a ( red motorcycle ) ) ) ) )	( ( ( A person ) ( in ( a ( motocross uniform ) ) ) ) ( is ( ( wearing ( a ( ( helmet and ) rides ) ) ) ( a ( red motorcycle ) ) ) ) )	4.8	8343
CONTRADICTION	( ( ( Three boys ) ( in ( karate costumes ) ) ) ( are fighting ) )	( ( ( Three boys ) ( in ( karate costumes ) ) ) ( ( are n't ) fighting ) )	3.3	1503
NEUTRAL	( ( ( ( A ( little girl ) ) and ) ( ( a woman ) ( wearing ( a ( yellow shirt ) ) ) ) ) ( are ( ( getting splashed ) ( by ( a ( city fountain ) ) ) ) ) )	( ( ( A ( young girl ) ) ( is ( playing ( on ( ( the edge ) ( of ( ( ( a fountain ) and ) ( an ( older woman ) ) ) ) ) ) ) ) ) ( is ( watching her ) ) )	3.5	9677
NEUTRAL	( ( A ( small boy ) ) ( is ( scolding ( a dog ) ) ) )	( ( A ( small boy ) ) ( is ( playing ( with ( a dog ) ) ) ) )	3.4	2130
NEUTRAL	( ( The woman ) ( ( is n't ) ( stirring ( eggs ( in ( a bowl ) ) ) ) ) )	( Someone ( is ( beating ( an egg ) ) ) )	3.2	3398
NEUTRAL	( ( A ( tan dog ) ) ( is ( running ( through ( the brush ) ) ) ) )	( There ( is ( ( no ( white dog ) ) ( with ( ( beige spots ) ( running ( through ( a field ) ) ) ) ) ) ) )	2.7	6625
CONTRADICTION	( ( A man ) ( is ( playing ( a guitar ) ) ) )	( There ( is ( ( no man ) ( playing ( a guitar ) ) ) ) )	3.6	4520
ENTAILMENT	( ( A horse ) ( is ( being ( ridden ( by ( a person ) ) ) ) ) )	( ( A person ) ( is ( riding ( a horse ) ) ) )	5	5914
NEUTRAL	( ( A veteran ) ( is ( ( showing ( different things ) ) ( from ( ( a war ) ( to ( some people ) ) ) ) ) ) )	( ( A ( large man ) ) ( is ( sitting ( in ( a ( military ( accessories store ) ) ) ) ) ) )	2.8	9093
NEUTRAL	( ( The dog ) ( is ( having ( ( a nap ) ( in ( the park ) ) ) ) ) )	( ( ( ( A ( big brown ) ) and ) ( white ( spotted dog ) ) ) ( is ( lying ( on ( ( a jacket ) ( on ( the street ) ) ) ) ) ) )	2.9	9500
NEUTRAL	( ( A woman ) ( is ( playing ( the violin ) ) ) )	( There ( is ( ( no man ) ( playing ( the piano ) ) ) ) )	2.1	5082
NEUTRAL	( ( ( The kittens ) ( on ( the trays ) ) ) ( are ( being ( eaten ( as ( food ( for ( an advertisement ) ) ) ) ) ) ) )	( ( ( The food ) ( on ( the trays ) ) ) ( is ( being ( eaten ( by ( the kittens ) ) ) ) ) )	3.5	1877
ENTAILMENT	( ( ( A group ) ( of people ) ) ( is ( equipped ( with ( gear ( used ( for protection ) ) ) ) ) ) )	( ( ( A group ) ( of people ) ) ( is ( equipped ( with ( protective gear ) ) ) ) )	5	816
ENTAILMENT	( ( A man ) ( is ( ( ( wearing ( a ( straw hat ) ) ) and ) ( smoking ( a cigarette ) ) ) ) )	( ( A cigarette ) ( is ( being ( smoked ( by ( ( the man ) ( in ( the ( straw hat ) ) ) ) ) ) ) ) )	4.8	7311
NEUTRAL	( ( ( No group ) ( of people ) ) ( is ( gathering ( at ( ( a stand ) ( at ( the fair ) ) ) ) ) ) )	( ( The people ) ( are ( standing ( at ( a carnival ) ) ) ) )	3.8	8658
ENTAILMENT	( ( A ( big cat ) ) ( ( ( is ( ( opening ( a ( plastic drawer ) ) ) ( with ( its paws ) ) ) ) and ) ( is ( jumping inside ) ) ) )	( ( A cat ) ( is ( ( ( opening ( a drawer ) ) and ) ( jumping inside ) ) ) )	4.4	5003
CONTRADICTION	( ( Some ( ( people and ) vehicles ) ) ( are ( on ( a ( crowded street ) ) ) ) )	( ( Some ( ( people and ) vehicles ) ) ( are ( on ( a ( ( almost empty ) street ) ) ) ) )	4.2	8263
NEUTRAL	( ( Two children ) ( are ( playing ( on ( a statue ) ) ) ) )	( ( Small children ) ( are ( climbing ( ( a statue ) ( in ( a park ) ) ) ) ) )	4.1	7356
ENTAILMENT	( Someone ( is ( strumming ( the guitar ) ) ) )	( Someone ( is ( playing ( the guitar ) ) ) )	4.5	2557
NEUTRAL	( ( A cook ) ( is ( coating ( ( a pork ) chop ) ) ) )	( ( A woman ) ( is ( grating carrots ) ) )	2.1	3292
NEUTRAL	( ( A dog ) ( is ( swimming ( after ( a ( tennis ball ) ) ) ) ) )	( ( A ( young man ) ) ( is ( ( pushing ( a ( motocross bike ) ) ) ( down ( a ( dirt hill ) ) ) ) ) )	1	9988
ENTAILMENT	( ( A man ) ( is ( climbing ( a rope ) ) ) )	( ( The man ) ( is ( ( climbing up ) ( a rope ) ) ) )	4.8	4006
ENTAILMENT	( ( ( A group ) ( of rollerbladers ) ) ( is ( ( lining up ) ( on ( the road ) ) ) ) )	( ( ( A group ) ( of rollerbladers ) ) ( is ( ( lining up ) ( on ( the street ) ) ) ) )	4.9	8660
CONTRADICTION	( ( A ( karate practitioner ) ) ( is ( kicking ( at ( ( another man ) ( who ( is ( wearing ( protective ( boxing gloves ) ) ) ) ) ) ) ) ) )	( There ( is ( ( no ( karate practitioner ) ) ( kicking ( at ( ( another man ) ( who ( is ( wearing ( protective ( boxing gloves ) ) ) ) ) ) ) ) ) ) )	4.3	2712
NEUTRAL	( ( Rugby players ) ( ( are not ) ( tackling ( each other ) ) ) )	( ( A ( soccer player ) ) ( is ( being ( tackled ( by ( his opponent ) ) ) ) ) )	2.5	7002
ENTAILMENT	( ( A skateboarder ) ( is ( jumping ( in ( the air ) ) ) ) )	( ( The skateboarder ) ( is ( jumping ( in ( the air ) ) ) ) )	4.9	9303
NEUTRAL	( ( A ( golden dog ) ) ( is ( running ( through ( ( a field ) ( of ( tall grass ) ) ) ) ) ) )	( There ( is ( ( no ( brown dog ) ) ( running ( through ( tall ( green grass ) ) ) ) ) ) )	4	6866
CONTRADICTION	( ( An adult ) ( ( ( is ( in ( the amphitheater ) ) ) and ) ( is ( talking ( to ( a boy ) ) ) ) ) )	( There ( is ( ( no adult ) ( in ( ( the amphitheater ) ( talking ( to ( a boy ) ) ) ) ) ) ) )	4.3	987
CONTRADICTION	( There ( are ( ( no racers ) ( ( running down ) ( a track ) ) ) ) )	( Racers ( are ( ( running down ) ( a track ) ) ) )	3.7	3680
CONTRADICTION	( ( ( A ( ( ( black and ) white ) dog ) ) ( with ( a ( large branch ) ) ) ) ( is ( running ( in ( the field ) ) ) ) )	( ( ( A ( ( ( black and ) white ) dog ) ) ( with ( a ( large branch ) ) ) ) ( is ( standing ( in ( the field ) ) ) ) )	4.2	9706
NEUTRAL	( ( ( A ( little boy ) ) ( in ( a ( pink shirt ) ) ) ) ( is ( running ( under ( ( a tree ) ( in ( the desert ) ) ) ) ) ) )	( ( A girl ) ( ( ( is ( wearing ( ( jeans and ) ( a ( pink shirt ) ) ) ) ) and ) ( is running ) ) )	2.8	6330
CONTRADICTION	( ( ( A cluster ) ( of ( four ( brown dogs ) ) ) ) ( are ( playing ( in ( ( a field ) ( of ( brown grass ) ) ) ) ) ) )	( ( Four dogs ) ( ( are not ) ( playing ( in ( a ( grassy area ) ) ) ) ) )	4	9490
ENTAILMENT	( ( A man ) ( ( is recklessly ) ( climbing ( a rope ) ) ) )	( ( A man ) ( is ( climbing ( a rope ) ) ) )	4.3	4001
CONTRADICTION	( ( A man ) ( is ( driving ( a car ) ) ) )	( There ( is ( ( no man ) ( driving ( a car ) ) ) ) )	4.4	4614
ENTAILMENT	( ( ( A man ) ( in ( a ( black jersey ) ) ) ) ( is ( standing ( in ( a gym ) ) ) ) )	( ( ( A man ) ( in ( ( a jersey ) ( which ( is black ) ) ) ) ) ( is ( standing ( in ( a gym ) ) ) ) )	4.9	9132
ENTAILMENT	( ( A ( tennis player ) ) ( is ( jumping ( to ( the left ) ) ) ) )	( ( A ( tennis player ) ) ( is ( lunging ( to ( the left ) ) ) ) )	4.4	7795
NEUTRAL	( ( Three boys ) ( are ( walking ( on ( rocks ( along ( a river ) ) ) ) ) ) )	( ( Three boys ) ( are ( resting ( on ( rocks ( along ( a river ) ) ) ) ) ) )	3.8	6764
NEUTRAL	( Ferrets ( are ( ( climbing down ) ( from ( a shelf ) ) ) ) )	( ( A ( few ferrets ) ) ( are ( ( climbing out ) ( of ( the cage ) ) ) ) )	3.1	2668
NEUTRAL	( ( A man ) ( is screaming ) )	( ( A ( sad man ) ) ( is crying ) )	2.9	1400
NEUTRAL	( ( A woman ) ( is ( playing ( an ( electric guitar ) ) ) ) )	( ( A man ) ( is ( ( laying down ) ( a guitar ) ) ) )	2.3	3002
NEUTRAL	( ( The people ) ( ( are not ) ( sitting ( on ( ( a bench ) ( in ( front ( of ( a restaurant ) ) ) ) ) ) ) ) )	( ( Three people ) ( are ( sitting ( on ( ( a bench ) ( under ( some ( palm trees ) ) ) ) ) ) ) )	3.2	6740
CONTRADICTION	( ( A band ) ( ( is not ) ( playing ( some instruments ) ) ) )	( ( A band ) ( is ( playing ( some instruments ) ) ) )	3.8	4852
NEUTRAL	( ( People ( at ( a ( drag race ) ) ) ) ( are ( ( running away ) ( from ( ( the flames ) ( that ( are ( ( coming out ) ( of ( the cars ) ) ) ) ) ) ) ) ) )	( ( The crowd ) ( is ( watching ( ( two ( racing cars ) ) ( that ( are ( leaving ( the ( starting line ) ) ) ) ) ) ) ) )	2.6	6228
NEUTRAL	( ( ( A boy ) ( in ( a ( white t-shirt ) ) ) ) ( is ( splashing ( in ( shallow water ) ) ) ) )	( ( A girl ) ( is ( running ( through ( ( the water ) ( at ( the beach ) ) ) ) ) ) )	2.3	7950
NEUTRAL	( ( ( A woman ) ( dressed ( in ( elegant clothing ) ) ) ) ( ( ( ( is inside ) ( ( a crowd ) ( of people ) ) ) and ) ( is ( looking down ) ) ) )	( ( ( A woman ) ( dressed ( in ( elegant clothing ) ) ) ) ( ( ( ( is inside ) ( ( a crowd ) ( of people ) ) ) and ) ( is ( looking up ) ) ) )	3.1	7937
CONTRADICTION	( ( ( The man ) ( at ( the beach ) ) ) ( ( is not ) ( ( doing ( a handstand ) ) ( on ( ( the ( wet sand ) ) ( at ( ( the edge ) ( of ( the water ) ) ) ) ) ) ) ) )	( ( The man ) ( is ( ( doing ( a handstand ) ) ( on ( ( the ( wet sand ) ) ( at ( ( the edge ) ( of ( ( the water ) ( at ( the beach ) ) ) ) ) ) ) ) ) ) )	3.7	7667
NEUTRAL	( ( A ( bald person ) ) ( is ( playing ( a guitar ) ) ) )	( ( A person ) ( ( ( has ( blonde ( and ( flyaway hair ) ) ) ) and ) ( is ( playing ( a guitar ) ) ) ) )	3.9	285
ENTAILMENT	( ( The man ) ( is ( ( ( singing and ) playing ) ( the guitar ) ) ) )	( ( The guitar ) ( is ( being ( played ( by ( a man ) ) ) ) ) )	4.3	3909
NEUTRAL	( ( ( A ( football player ) ) ( in ( a ( purple jersey ) ) ) ) ( is ( running ( with ( ( the ball ) ( for ( a touchdown ) ) ) ) ) ) )	( ( A ( football player ) ) ( is ( ( carrying ( an official ) ) ( past ( a ( rolling football ) ) ) ) ) )	2.9	7544
ENTAILMENT	( ( The woman ) ( is ( ( ( holding ( the paintbrush ) ) next ) ( to ( ( the ( artist 's ) ) easel ) ) ) ) )	( ( The lady ) ( is ( ( ( holding ( the paintbrush ) ) next ) ( to ( ( the ( artist 's ) ) easel ) ) ) ) )	4.9	9584
CONTRADICTION	( ( ( A man ) ( dressed ( in black ) ) ) ( is ( wearing ( an ( elaborate ( black mask ) ) ) ) ) )	( There ( is ( ( no man ) ( dressed ( in ( black ( wearing ( an ( elaborate ( black mask ) ) ) ) ) ) ) ) ) )	3.4	6784
ENTAILMENT	( ( A man ) ( is ( doing ( ( a trick ) ( on ( a skateboard ) ) ) ) ) )	( ( A person ) ( is ( doing ( ( a trick ) ( on ( a skateboard ) ) ) ) ) )	4.4	8334
ENTAILMENT	( ( The woman ) ( is ( cleaning ( a shrimp ) ) ) )	( ( A woman ) ( is ( cleaning ( a shrimp ) ) ) )	4.9	3364
ENTAILMENT	( ( A dog ) ( is ( swimming ( in ( ( a body ) ( of water ) ) ) ) ) )	( ( An animal ) ( is ( swimming ( in ( ( a body ) ( of water ) ) ) ) ) )	4.5	8806
ENTAILMENT	( ( A man ) ( is ( playing ( an ( electric guitar ) ) ) ) )	( ( A man ) ( is ( playing guitar ) ) )	4.9	1493
ENTAILMENT	( Vegetables ( are ( being ( ( put ( into ( a pot ) ) ) ( by ( a man ) ) ) ) ) )	( Someone ( is ( ( pouring ingredients ) ( into ( a pot ) ) ) ) )	4	5938
NEUTRAL	( ( A ( young boy ) ) ( is ( playing ( a ( wind instrument ) ) ) ) )	( ( A kid ) ( is ( ( throwing away ) ( an instrument ) ) ) )	2.8	3174
NEUTRAL	( ( A man ) ( is ( leaning ( on ( ( the ledge ) ( of ( a balcony ) ) ) ) ) ) )	( ( A woman ) ( is ( leaning ( on ( ( the ledge ) ( of ( a balcony ) ) ) ) ) ) )	3.8	8832
NEUTRAL	( ( A motorcycle ) ( is ( riding ( ( standing up ) ( on ( ( the seat ) ( of ( the vehicle ) ) ) ) ) ) ) )	( Someone ( ( ( is ( on ( a ( black ( and ( white motorcycle ) ) ) ) ) ) and ) ( is ( standing ( on ( the seat ) ) ) ) ) )	3.165	197
NEUTRAL	( ( A ( practicing jumper ) ) ( is ( ( tossing ( ( a ( person 's ) ) snowboard ) ) ( into ( the air ) ) ) ) )	( ( Two people ) ( are ( riding ( a bike ) ) ) )	2	9822
NEUTRAL	( ( ( ( A person ) ( is ( looking ( at ( ( a bike ) ( designed ( for ( motocross ( that ( is ( lying ( on ( its side ) ) ) ) ) ) ) ) ) ) ) ) ) and ) ( another ( is ( racing by ) ) ) )	( ( The ( bike rider ) ) ( is ( looking ( at ( ( an accident ) ( of ( another ( bike rider ) ) ) ) ) ) ) )	3.1	7590
NEUTRAL	( There ( is ( ( no ( football player ) ) ( in ( ( a ( purple jersey ) ) ( running ( with ( ( the ball ) ( for ( a touchdown ) ) ) ) ) ) ) ) ) )	( ( A ( football player ) ) ( is ( running ( past ( ( an official ) ( carrying ( a football ) ) ) ) ) ) )	3.3	7541
CONTRADICTION	( ( A ( toy train ) ) ( is ( striking ( a ( toy car ) ) ) ) )	( ( A ( toy train ) ) ( is ( missing ( a ( toy car ) ) ) ) )	3.8	3711
NEUTRAL	( ( A toddler ) ( is ( making ( ( a splash ) ( inside ( a ( blue ( paddling pool ) ) ) ) ) ) ) )	( ( The child ) ( is ( splashing ( water ( in ( a ( big ( red pool ) ) ) ) ) ) ) )	3.1	8548
NEUTRAL	( ( A woman ) ( is ( refrigerating ( a potato ) ) ) )	( ( A woman ) ( is ( peeling ( a potato ) ) ) )	3.7	3982
ENTAILMENT	( ( The horse ) ( is ( being ( ridden ( by ( a man ) ) ) ) ) )	( ( A man ) ( is ( riding ( the horse ) ) ) )	5	2001
NEUTRAL	( ( The man ) ( ( is not ) ( doing exercises ) ) )	( ( Two men ) ( are fighting ) )	2.3	5930
